Iteration,Difficulty,Attempts,Backtracks,NearSolves,Resets,TimeTaken,GATime,BestFitness
1,4,2,33,0,1,222,0.259,0.8888889
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,D,O,O,#,#,O
# S,↓,O,O,→,→,→,→,↓,O
# O,→,↓,O,↑,#,O,O,↓,O
# O,P,→,↓,↑,#,#,O,→,E
# O,#,D,↓,↑,O,O,O,#,O
# O,O,↓,←,↑,O,O,#,O,O
# O,#,→,→,↑,O,O,O,#,O
# O,O,P,O,O,O,#,O,#,O
# O,O,O,O,O,O,O,O,O,O

2,3,1,0,0,0,64,0.132,0.8012818
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,#,O,O,O,P,O,O
# O,O,#,O,O,O,D,→,↓,O
# O,O,#,#,#,P,#,↑,↓,O
# O,#,O,O,D,→,→,↑,↓,O
# O,#,O,#,O,↑,#,#,↓,O
# O,O,#,O,#,↑,←,#,↓,O
# O,O,O,P,O,D,↑,O,↓,O
# S,→,→,→,→,→,↑,O,→,E
# O,O,O,O,O,O,O,O,O,O

3,3,1,1,0,0,42,0.134,0.7789853
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,#,O,#,O,#,O,O
# O,O,P,#,O,#,#,P,#,O
# O,O,→,→,→,→,→,→,↓,O
# O,O,↑,O,#,D,O,#,↓,O
# O,O,↑,O,#,#,#,#,↓,O
# O,O,↑,#,O,#,O,O,↓,O
# O,O,↑,O,O,O,O,O,→,E
# S,→,↑,#,O,O,O,#,D,O
# O,O,O,O,O,O,O,O,O,O

4,2,1,0,0,0,58,0.122,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,#,O,O,#,#,O,O
# O,#,O,#,#,#,O,O,O,O
# O,O,#,O,O,#,O,#,O,O
# O,O,O,O,O,P,O,O,→,E
# S,↓,#,O,O,→,↓,O,↑,O
# O,↓,#,O,#,↑,↓,#,↑,O
# O,→,→,→,→,↑,→,→,↑,O
# O,P,#,O,D,O,D,#,#,O
# O,O,O,O,O,O,O,O,O,O

5,2,1,0,0,0,34,0.129,0.6964285
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,P,O,#,#,#,#,O,O,O
# S,→,→,→,→,↓,#,O,O,O
# O,O,O,O,O,↓,#,O,#,O
# O,O,O,O,O,↓,O,O,O,O
# O,O,#,O,O,↓,#,O,O,O
# O,#,O,#,O,↓,O,O,O,O
# O,#,O,#,O,→,→,→,→,E
# O,#,#,O,#,D,O,#,#,O
# O,O,O,O,O,O,O,O,O,O

6,1,2,38,1,1,132,0.108,1
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,O,O,#,#,O,O
# O,O,#,O,O,#,#,#,#,O
# S,→,→,↓,#,O,#,#,#,O
# O,O,P,↓,#,O,O,O,#,O
# O,#,↓,←,O,O,O,#,O,O
# O,#,→,→,→,→,→,→,→,E
# O,#,D,O,O,O,#,O,O,O
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

7,1,2,23,1,1,90,0.097,1
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,#,O,#,O,O,#,O
# O,#,#,#,#,O,O,#,#,O
# O,#,O,O,O,O,O,O,#,O
# O,O,#,O,O,#,O,O,O,O
# O,O,#,O,O,O,O,O,#,O
# O,O,O,O,P,O,#,#,#,O
# S,→,→,→,→,→,→,→,→,E
# O,#,O,#,O,O,O,O,D,O
# O,O,O,O,O,O,O,O,O,O

8,1,2,19,0,1,100,0.107,1
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,O,#,O,O,O,#,O
# O,O,O,O,O,O,#,O,#,O
# O,O,#,#,O,O,O,O,O,O
# O,O,#,O,P,O,#,D,O,O
# S,→,→,→,→,→,→,→,→,E
# O,O,#,#,O,#,#,O,O,O
# O,O,#,#,O,O,#,#,O,O
# O,#,O,O,O,O,#,#,O,O
# O,O,O,O,O,O,O,O,O,O

9,2,1,0,0,0,24,0.14,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,P,#,#,D,O,O
# S,→,→,→,→,→,→,→,→,E
# O,#,O,O,O,O,O,O,#,O
# O,O,O,O,O,O,#,O,O,O
# O,O,O,#,#,#,#,O,O,O
# O,#,#,O,#,#,O,O,#,O
# O,O,#,O,O,O,#,#,#,O
# O,#,O,O,#,O,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

10,2,1,1,0,0,38,0.135,0.733683
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,O,O,O,O,→,E
# O,O,O,#,O,O,O,#,↑,O
# O,O,O,#,O,O,#,O,↑,O
# O,#,O,O,O,#,O,O,↑,O
# O,O,O,#,#,#,O,O,↑,O
# S,→,→,→,→,→,→,→,↑,O
# O,O,O,P,#,#,D,#,#,O
# O,#,O,#,O,O,O,#,#,O
# O,O,O,O,O,O,O,O,O,O

11,1,2,21,0,1,118,0.108,1
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,O,O,O,O,O,#,O
# O,O,O,#,O,O,#,O,→,E
# O,O,#,#,O,#,#,#,↑,O
# O,#,#,O,O,#,#,#,↑,O
# O,O,O,#,#,O,O,O,↑,O
# O,P,O,#,O,O,O,D,↑,O
# S,→,→,→,→,→,→,→,↑,O
# O,O,O,#,O,D,O,P,O,O
# O,O,O,O,O,O,O,O,O,O

12,1,1,1,0,0,32,0.108,1
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,#,#,#,O,O,#,O
# S,→,→,→,→,→,→,→,→,E
# O,P,O,O,O,O,D,O,#,O
# O,O,#,#,#,#,O,O,#,O
# O,#,O,#,O,O,O,O,O,O
# O,#,O,O,O,#,O,O,#,O
# O,#,O,O,O,#,O,O,O,O
# O,O,O,O,O,O,#,O,#,O
# O,O,O,O,O,O,O,O,O,O

13,2,1,0,0,0,24,0.149,0.6964285
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,O,O,O,#,#,O
# O,O,O,O,O,O,O,#,O,O
# O,O,O,O,O,#,O,#,O,O
# O,#,O,#,#,#,#,O,O,O
# O,O,P,O,#,#,#,#,#,O
# S,→,→,→,→,→,→,→,→,E
# O,O,O,O,O,O,D,#,O,O
# O,O,#,O,#,O,O,O,#,O
# O,O,O,O,O,O,O,O,O,O

14,3,1,0,0,0,30,0.142,0.7976188
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,#,#,O,D,#,O
# O,O,O,O,O,O,O,→,↓,O
# O,#,#,#,#,O,#,↑,↓,O
# S,→,→,→,→,→,→,↑,↓,O
# O,O,#,O,O,O,O,P,→,E
# O,O,O,#,O,#,#,O,O,O
# O,#,#,O,#,O,#,O,#,O
# O,O,O,O,O,#,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

15,2,2,20,0,1,102,0.13,0.6814286
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,→,→,→,↓,D,#,D,O,O
# O,O,O,#,→,→,↓,→,↓,O
# O,#,#,#,O,P,↓,↑,↓,O
# O,#,O,O,#,O,→,↑,↓,O
# O,#,O,O,O,#,P,#,↓,O
# O,O,O,O,#,O,O,#,→,E
# O,O,O,#,O,#,#,O,O,O
# O,O,#,O,O,O,O,#,O,O
# O,O,O,O,O,O,O,O,O,O

16,1,1,4,0,0,46,0.126,1
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,O,#,O,#,O,O
# S,→,→,→,→,→,↓,D,O,O
# O,O,#,#,P,O,→,→,↓,O
# O,O,#,#,O,O,#,#,↓,O
# O,O,O,#,O,O,O,O,↓,O
# O,O,O,#,#,O,O,#,↓,O
# O,#,O,#,O,O,O,O,→,E
# O,O,O,#,O,#,#,O,#,O
# O,O,O,O,O,O,O,O,O,O

17,2,1,0,0,0,20,0.125,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,O,O,O,#,O,#,O
# O,O,O,O,O,O,O,O,O,O
# O,#,D,#,O,#,#,O,#,O
# S,→,→,→,→,→,→,→,→,E
# O,P,#,O,#,O,O,O,O,O
# O,O,#,O,O,#,#,O,O,O
# O,O,O,O,#,O,#,O,O,O
# O,O,#,#,O,#,#,O,#,O
# O,O,O,O,O,O,O,O,O,O

18,3,1,0,0,0,30,0.135,0.8012818
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,#,O,O,#,#,#,O,O
# O,O,O,O,O,O,#,#,→,E
# O,#,#,#,#,#,O,O,↑,O
# O,O,O,#,#,O,#,O,↑,O
# O,O,O,O,#,O,#,O,↑,O
# O,#,O,O,O,O,O,D,↑,O
# S,→,→,→,→,→,→,→,↑,O
# O,O,O,P,O,O,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

19,2,2,13,0,1,162,0.136,0.6997436
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,O,O,O,#,#,O
# O,#,O,#,O,O,D,#,O,O
# O,O,O,P,#,→,→,→,→,E
# O,O,#,→,→,↑,D,O,#,O
# O,#,O,↑,←,←,←,#,O,O
# S,→,→,→,→,→,↑,O,#,O
# O,#,#,P,O,#,#,#,O,O
# O,O,O,O,O,O,O,O,O,O

20,3,1,0,0,0,30,0.151,0.7708331
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,P,O,O,#,O,#,O,O,O
