Iteration,Difficulty,Attempts,Backtracks,NearSolves,Resets,TimeTaken,GATime,BestFitness
1,5,2,14,1,1,132,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,O,#,O,O,O,O
# O,O,P,#,#,O,#,O,#,O
# O,O,→,→,→,→,→,↓,O,O
# O,O,↑,O,O,O,O,↓,→,E
# O,O,↑,←,←,#,O,↓,↑,O
# S,→,→,→,↑,D,O,→,↑,O
# O,P,#,O,O,O,O,D,#,O
# O,O,#,O,O,#,O,#,#,O
# O,O,O,O,O,O,O,O,O,O

2,5,1,3,0,0,94,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,O,D,O,P,O,O
# O,O,#,→,→,→,→,→,↓,O
# O,O,#,↑,D,#,O,#,↓,O
# O,O,P,↑,←,#,O,#,↓,O
# O,O,O,O,↑,O,O,↓,←,O
# O,#,O,O,↑,#,O,↓,D,O
# O,P,O,#,↑,#,#,→,→,E
# S,→,→,→,↑,#,O,O,#,O
# O,O,O,O,O,O,O,O,O,O

3,5,2,19,1,1,112,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,#,O,O,O,O,P,O
# S,→,↓,P,→,→,→,→,↓,O
# O,O,→,→,↑,D,↓,←,←,O
# O,O,#,O,#,O,↓,D,→,E
# O,O,O,#,O,#,→,→,↑,O
# O,O,#,O,#,O,O,O,O,O
# O,O,O,O,O,O,#,O,#,O
# O,#,O,O,#,O,O,#,#,O
# O,O,O,O,O,O,O,O,O,O

4,5,2,33,0,1,148,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,O,#,#,O,O,O
# O,#,#,#,O,O,D,O,O,O
# O,O,O,P,O,D,→,→,↓,O
# S,→,→,→,→,↓,↑,#,↓,O
# O,O,#,#,O,→,↑,#,↓,O
# O,O,O,O,O,P,#,O,→,E
# O,O,#,#,O,O,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

5,5,2,19,1,1,186,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,O,#,O,#,#,O
# O,P,O,O,O,#,#,O,O,O
# O,→,→,→,→,→,↓,D,#,O
# O,↑,O,↓,←,←,←,O,O,O
# O,↑,#,↓,P,O,O,O,#,O
# O,↑,O,→,→,→,→,↓,O,O
# S,↑,O,O,#,O,O,→,↓,O
# O,#,O,#,#,O,O,D,→,E
# O,O,O,O,O,O,O,O,O,O

6,5,1,0,0,0,60,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,P,O,O,#,#,→,→,↓,O
# O,→,→,→,→,→,↑,D,↓,O
# O,↑,O,O,↓,←,D,↓,←,O
# S,↑,O,O,↓,↑,↓,←,#,O
# O,#,O,O,↓,↑,←,#,O,O
# O,#,O,#,→,↓,P,O,#,O
# O,O,O,#,#,→,→,→,↓,O
# O,O,#,O,O,#,#,O,→,E
# O,O,O,O,O,O,O,O,O,O

7,5,2,32,0,1,178,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,O,O,#,#,O,O
# O,#,#,O,O,O,O,O,O,O
# S,→,↓,O,O,#,→,→,→,E
# O,O,↓,O,O,O,↑,P,#,O
# O,#,↓,#,O,D,↑,←,#,O
# O,O,↓,D,O,O,O,↑,O,O
# O,#,→,→,→,→,→,↑,O,O
# O,#,O,P,#,#,O,O,O,O
