Iteration,Difficulty,Attempts,Backtracks,NearSolves,Resets,TimeTaken,GATime,BestFitness
1,4,1,5,0,0,108,0.277,0.8650793
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,#,O,#,O,D,O,O
# O,O,O,#,#,O,P,→,↓,O
# O,#,#,D,O,#,→,↑,↓,O
# O,P,O,→,↓,O,↑,O,↓,O
# S,→,→,↑,↓,#,↑,O,↓,O
# O,↓,←,←,←,O,↑,←,↓,O
# O,↓,P,#,#,#,D,↑,→,E
# O,→,→,→,→,→,→,↑,#,O
# O,O,O,O,O,O,O,O,O,O

2,3,2,20,1,1,146,0.129,0.7789853
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,→,→,→,→,↓,O,#,#,O
# O,O,O,#,D,→,→,→,↓,O
# O,O,O,O,#,P,#,O,↓,O
# O,O,O,#,↓,←,←,←,←,O
# O,O,#,O,↓,D,O,#,P,O
# O,O,O,O,→,↓,#,O,O,O
# O,O,#,O,#,→,→,→,→,E
# O,#,#,O,#,P,#,D,O,O
# O,O,O,O,O,O,O,O,O,O

3,2,2,33,0,1,230,0.138,0.6964285
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,#,#,O,#,O,O
# O,P,#,O,O,O,O,O,O,O
# O,→,→,→,↓,D,#,#,#,O
# S,↑,↓,←,←,O,#,O,O,O
# O,O,↓,P,O,#,#,O,O,O
# O,#,→,→,↓,O,#,#,O,O
# O,#,#,O,→,→,→,→,→,E
# O,#,O,O,D,O,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

4,2,1,2,0,0,46,0.125,0.6885808
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,O,O,P,#,O,O,O
# S,→,→,→,→,→,→,→,↓,O
# O,#,O,O,#,O,#,↓,←,O
# O,#,#,O,#,#,O,↓,D,O
# O,O,O,O,#,O,O,→,→,E
# O,O,O,O,#,O,#,O,O,O
# O,O,O,#,O,O,O,O,O,O
# O,#,O,#,O,O,#,#,#,O
# O,O,O,O,O,O,O,O,O,O

5,2,1,1,0,0,50,0.132,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,P,O,O,O,#,O,#,O,O
# S,↓,O,O,#,O,O,O,O,O
# O,↓,O,#,O,P,#,O,O,O
# O,→,→,→,→,↓,#,#,#,O
# O,D,#,#,O,↓,O,O,#,O
# O,#,#,O,O,→,→,→,↓,O
# O,O,O,O,#,D,O,O,→,E
# O,#,O,O,#,#,O,#,O,O
# O,O,O,O,O,O,O,O,O,O

6,2,1,2,0,0,38,0.121,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,O,O,#,O,#,O,O
# S,→,↓,O,O,O,#,#,O,O
# O,O,↓,O,#,#,#,O,O,O
# O,O,↓,#,O,#,O,#,O,O
