Iteration,Difficulty,Attempts,Backtracks,NearSolves,Resets,TimeTaken,GATime,BestFitness
1,4,1,2,0,0,104,0.258,0.8650793
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,D,O,#,O,#,#,→,E
# O,O,→,→,→,→,→,→,↑,O
# S,↓,↑,O,O,#,O,O,O,O
# O,↓,↑,O,#,O,#,#,#,O
# O,↓,↑,←,←,←,←,←,O,O
# O,↓,→,→,→,→,→,↑,P,O
# O,→,↑,D,O,O,O,O,O,O
# O,P,#,O,#,O,#,#,#,O
# O,O,O,O,O,O,O,O,O,O

2,3,12,142,2,11,1170,0.132,0.7976188
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,#,#,O,O,O,O,O
# O,O,O,O,O,#,O,→,→,E
# O,P,#,O,O,O,#,↑,D,O
# S,→,↓,D,#,#,P,↑,←,O
# O,#,→,→,→,→,↓,D,↑,O
# O,O,O,O,↓,←,←,O,↑,O
# O,O,#,#,→,→,→,→,↑,O
# O,O,#,#,P,#,O,#,O,O
# O,O,O,O,O,O,O,O,O,O

3,2,1,11,0,0,82,0.136,0.6997436
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,P,O,O,O,O,O,O,O,O
# O,→,↓,#,O,#,#,O,#,O
# O,↑,↓,O,P,#,#,O,#,O
# O,↑,↓,O,→,→,→,→,→,E
# S,↑,↓,O,↑,O,#,D,#,O
# O,O,→,→,↑,O,#,O,#,O
# O,O,D,#,O,O,O,#,O,O
# O,O,#,O,O,O,#,#,#,O
# O,O,O,O,O,O,O,O,O,O

4,1,2,28,0,1,130,0.122,1
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,#,O,O,O,O,O
# O,O,O,#,P,O,#,O,#,O
# O,O,#,#,→,↓,#,#,O,O
# O,O,O,O,↑,→,→,→,→,E
# S,→,→,↓,↑,D,#,O,O,O
# O,#,D,→,↑,#,O,#,O,O
# O,#,O,P,O,#,O,O,O,O
# O,O,O,O,#,#,O,#,O,O
# O,O,O,O,O,O,O,O,O,O

5,2,1,0,0,0,24,0.121,0.6964285
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,#,O,#,O,O,O
# O,#,#,#,O,#,O,#,#,O
# O,O,#,O,O,O,#,#,O,O
# O,O,O,#,O,O,#,O,O,O
# O,O,#,O,#,O,#,O,O,O
# S,→,→,→,→,→,→,→,→,E
# O,#,P,O,#,O,D,O,O,O
# O,O,#,O,O,O,#,O,O,O
# O,O,O,O,O,O,O,O,O,O

6,1,2,13,0,1,118,0.104,1
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,O,#,O,O,O,O,O
# O,#,#,O,#,O,#,O,O,O
# O,O,#,O,#,#,O,O,O,O
# O,O,O,#,#,O,#,#,P,O
# S,→,→,→,→,→,→,→,↓,O
# O,O,O,#,O,O,O,↓,←,O
# O,O,#,O,O,#,O,→,↓,O
# O,O,O,#,O,#,O,D,→,E
# O,O,O,O,O,O,O,O,O,O

7,1,2,19,1,1,84,0.124,0.7654321
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,O,#,#,O,O,O
# O,O,O,#,#,#,O,O,O,O
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,#,O,O,O,D,O
# S,→,→,→,→,→,→,→,→,E
# O,P,O,#,O,O,#,#,O,O
# O,#,O,O,#,#,O,#,O,O
# O,O,#,#,#,#,O,#,O,O
# O,O,O,O,O,O,O,O,O,O

8,2,1,1,0,0,26,0.134,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,O,#,#,#,O,O
# O,#,O,O,O,O,O,O,O,O
# S,→,→,→,→,→,→,→,↓,O
# O,O,#,#,O,#,#,D,→,E
# O,#,O,#,O,#,O,#,P,O
# O,#,O,#,#,O,O,O,#,O
# O,O,O,O,#,#,O,#,O,O
# O,O,O,O,O,O,O,#,O,O
# O,O,O,O,O,O,O,O,O,O

9,2,1,3,0,0,42,0.142,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,#,O,P,#,#,#,O
# S,→,→,→,→,→,↓,O,#,O
# O,#,O,#,O,O,↓,#,O,O
# O,O,O,O,O,#,↓,O,O,O
# O,O,O,#,#,O,↓,O,O,O
# O,#,#,O,O,O,↓,O,#,O
# O,O,#,O,#,O,→,→,→,E
# O,O,O,O,#,O,D,O,O,O
# O,O,O,O,O,O,O,O,O,O

10,2,1,0,0,0,30,0.135,0.6964285
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,#,O,O,O,#,→,E
# O,O,O,O,O,O,O,#,↑,O
# O,O,#,O,O,O,#,O,↑,O
# O,#,O,O,#,O,O,O,↑,O
# O,O,#,D,#,O,#,O,↑,O
# S,→,→,→,→,→,→,→,↑,O
# O,#,#,P,#,O,O,O,O,O
# O,#,#,O,#,O,O,#,#,O
# O,O,O,O,O,O,O,O,O,O

11,1,2,22,1,1,126,0.122,1
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,#,#,#,O,O,O,O,O
# O,O,O,O,#,#,O,#,O,O
# S,→,→,→,→,→,→,↓,O,O
# O,O,#,O,O,P,#,↓,#,O
# O,#,O,#,O,#,O,↓,#,O
# O,O,#,O,O,O,#,↓,→,E
# O,O,O,#,O,O,O,→,↑,O
# O,O,#,O,O,O,O,D,O,O
# O,O,O,O,O,O,O,O,O,O

12,2,1,0,0,0,28,0.147,0.6997436
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,O,O,#,O,O,O
# O,O,O,#,O,O,#,O,#,O
# O,O,O,O,O,#,#,O,O,O
# O,#,#,O,#,#,O,O,O,O
# O,#,O,O,#,#,O,O,O,O
# O,#,#,#,O,O,D,O,O,O
# S,→,→,→,→,→,→,→,→,E
# O,O,P,#,O,#,O,#,#,O
# O,O,O,O,O,O,O,O,O,O

13,1,2,22,0,1,142,0.119,1
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,O,O,O,O,O,O
# O,#,O,O,O,#,#,#,O,O
# S,↓,#,O,O,O,O,#,O,O
# O,↓,O,#,#,O,#,O,O,O
# O,↓,O,O,#,#,O,#,O,O
# O,↓,D,O,#,P,#,→,→,E
# O,→,→,→,→,→,→,↑,D,O
# O,#,P,#,#,O,#,O,O,O
# O,O,O,O,O,O,O,O,O,O

14,2,1,0,0,0,20,0.13,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,#,#,O,#,#,O
# O,O,#,#,O,O,#,O,#,O
# O,O,O,O,O,#,#,O,O,O
# O,O,O,O,#,#,O,O,#,O
# O,O,O,O,O,O,O,O,D,O
# S,→,→,→,→,→,→,→,→,E
# O,#,O,O,#,O,P,O,O,O
# O,O,O,O,#,#,#,O,#,O
# O,O,O,O,O,O,O,O,O,O

15,2,1,2,0,0,38,0.14,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,#,#,O,O,#,→,E
# O,O,#,O,O,O,O,O,↑,O
# O,O,O,O,O,O,#,#,↑,O
# O,O,#,#,O,O,O,O,↑,O
# O,O,O,O,#,O,O,#,↑,O
# S,→,→,→,→,→,→,→,↑,O
# O,P,O,#,#,#,O,#,D,O
# O,O,#,O,O,O,#,O,#,O
# O,O,O,O,O,O,O,O,O,O

16,1,2,25,1,1,132,0.105,1
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,O,O,#,O,O,O
# O,O,O,O,#,#,D,#,#,O
# S,→,→,→,→,→,→,→,↓,O
# O,O,P,#,#,#,O,O,↓,O
# O,O,#,#,O,O,O,#,↓,O
# O,O,O,#,O,#,#,O,↓,O
# O,#,O,O,#,O,#,O,↓,O
# O,O,O,O,O,O,#,O,→,E
# O,O,O,O,O,O,O,O,O,O

17,2,1,0,0,0,24,0.15,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,#,O,#,O,O,O
# O,O,O,#,O,O,O,O,O,O
# O,O,#,#,O,#,#,O,#,O
# O,#,#,O,#,O,#,O,O,O
# O,O,O,#,O,#,O,O,#,O
# O,O,P,O,O,O,O,#,D,O
# S,→,→,→,→,→,→,→,→,E
# O,#,#,O,O,O,O,#,O,O
# O,O,O,O,O,O,O,O,O,O

18,2,1,0,0,0,38,0.152,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,O,#,O,O,#,O,O
# S,↓,O,#,O,O,#,O,#,O
# O,↓,O,O,O,O,O,#,O,O
# O,↓,O,#,O,#,#,O,O,O
# O,↓,O,#,#,#,#,O,O,O
# O,↓,#,O,O,O,#,D,O,O
# O,→,→,→,→,→,→,→,→,E
# O,P,#,#,O,O,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

19,2,1,1,0,0,34,0.138,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,↓,O,O,O,#,O,#,O,O
# O,↓,O,O,#,#,O,O,O,O
# O,↓,O,O,#,O,#,O,#,O
# O,↓,O,O,#,O,O,O,O,O
# O,↓,#,#,#,#,O,#,#,O
# O,→,→,→,→,→,→,→,→,E
# O,P,#,O,D,O,#,O,#,O
# O,O,O,O,O,#,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

20,2,1,0,0,0,30,0.133,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,#,#,O,#,O,O
# O,#,O,#,O,O,O,O,→,E
# O,O,#,O,O,#,O,O,↑,O
# O,O,O,O,O,#,O,#,↑,O
# O,O,O,O,#,O,O,#,↑,O
# O,O,O,#,P,#,D,O,↑,O
# S,→,→,→,→,→,→,→,↑,O
# O,O,#,O,#,#,#,#,O,O
# O,O,O,O,O,O,O,O,O,O

21,2,1,1,0,0,38,0.152,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,#,O,O,#,O,O,O
# S,→,→,→,→,→,→,→,↓,O
# O,#,P,O,D,O,O,O,↓,O
# O,#,#,O,O,O,#,#,↓,O
# O,O,O,#,O,#,O,O,↓,O
# O,O,#,#,O,O,#,#,↓,O
# O,O,#,O,O,O,#,#,→,E
# O,O,O,O,O,#,#,O,O,O
# O,O,O,O,O,O,O,O,O,O

22,1,1,7,0,0,70,0.151,0.7654321
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,↓,O,O,O,O,O,#,O,O
# O,↓,#,O,#,O,#,O,#,O
# O,↓,#,#,O,O,O,O,O,O
# O,↓,#,#,O,#,#,O,O,O
# O,↓,#,#,O,#,O,#,O,O
# O,→,→,→,→,→,→,→,→,E
# O,P,O,D,O,#,O,O,O,O
# O,O,O,O,#,O,#,O,O,O
# O,O,O,O,O,O,O,O,O,O

23,2,1,0,0,0,26,0.131,0.6997436
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,#,#,#,O,O,#,O,O
# O,#,O,O,O,O,#,#,O,O
# O,#,O,O,#,#,O,O,#,O
# O,O,O,#,O,O,#,O,O,O
# O,O,O,O,O,O,O,O,O,O
# O,#,#,#,O,P,O,#,D,O
# S,→,→,→,→,→,→,→,↓,O
# O,O,O,#,O,O,#,O,→,E
# O,O,O,O,O,O,O,O,O,O

24,1,5,64,4,4,352,0.11,0.7654321
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,#,#,O,#,O,O
# O,O,O,O,P,#,O,#,O,O
# O,O,#,#,→,→,→,→,→,E
# O,O,O,O,↑,#,#,O,D,O
# O,#,#,O,↑,O,O,O,O,O
# O,#,O,D,↑,O,#,O,O,O
# O,→,→,→,↑,#,O,#,O,O
# S,↑,P,#,O,#,#,O,O,O
# O,O,O,O,O,O,O,O,O,O

25,2,1,0,0,0,22,0.133,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,#,O,#,O,O,#,O
# O,O,O,#,#,#,#,O,#,O
# O,O,O,O,D,#,O,O,O,O
# S,→,→,→,→,→,→,→,↓,O
# O,#,P,O,#,O,#,#,→,E
