Iteration,Difficulty,Attempts,Backtracks,NearSolves,Resets,TimeTaken,GATime,BestFitness
1,6,1,0,0,0,16,0.607,0.7863634
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,D,#,#,O,#,O,#,O,O
# O,→,→,→,→,→,→,→,↓,O
# O,↑,O,#,O,#,O,O,↓,O
# O,↑,O,O,#,O,P,O,↓,O
# O,↑,←,←,←,←,←,O,→,E
# O,P,#,#,D,O,↑,O,#,O
# S,→,→,→,→,→,↑,#,O,O
# O,O,#,O,O,O,O,O,#,O
# O,O,O,O,O,O,O,O,O,O

2,7,1,1,0,0,19.5,0.503,0.7365079
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,→,→,→,→,→,→,↓,O
# O,O,↑,D,↓,←,←,←,←,O
# O,P,↑,←,↓,O,O,#,D,O
# O,#,O,↑,↓,#,O,#,O,O
# O,O,#,↑,→,↓,D,#,#,O
# O,→,→,↑,P,→,↓,→,→,E
# S,↑,P,O,#,O,→,↑,D,O
# O,#,O,#,O,#,P,O,O,O
# O,O,O,O,O,O,O,O,O,O

3,8,1,0,0,0,19,1.72,0.5947376
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,#,#,→,→,→,↓,O
# O,O,P,#,#,↑,D,O,↓,O
# O,#,→,↓,O,↑,←,←,↓,O
# S,→,↑,↓,O,O,D,↑,↓,O
# O,#,D,↓,#,O,→,↑,↓,O
# O,↓,←,←,#,O,↑,P,↓,O
# O,↓,P,O,O,O,↑,O,↓,O
# O,→,→,→,→,→,↑,#,→,E
# O,O,O,O,O,O,O,O,O,O

4,9,1,0,0,0,20,1.516,0.483683
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,→,→,↓,D,→,→,↓,D,O
# O,↑,P,→,→,↑,P,↓,→,E
# O,↑,←,P,O,↓,←,←,↑,O
# O,P,↑,O,#,↓,#,#,↑,O
# O,→,↑,O,↓,←,O,#,↑,O
# S,↑,D,↓,←,D,#,#,↑,O
# O,O,O,↓,P,→,→,→,↑,O
# O,#,#,→,→,↑,D,O,O,O
# O,O,O,O,O,O,O,O,O,O

5,10,1,0,0,0,17.5,4.065,0.588007
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,→,→,→,→,↓,O,D,→,E
# O,↑,D,O,D,↓,O,→,↑,O
# O,↑,←,P,O,↓,#,↑,O,O
# O,P,↑,#,O,↓,O,↑,O,O
# O,→,↑,#,↓,←,#,↑,#,O
# S,↑,P,↓,←,P,O,↑,O,O
# O,D,O,↓,D,→,→,↑,O,O
# O,#,#,→,→,↑,P,O,O,O
# O,O,O,O,O,O,O,O,O,O

6,10,1,0,0,0,15,4.113,0.5958605
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,#,O,O,O,O,P,→,E
# O,O,P,#,O,→,→,→,↑,O
# S,→,↓,D,O,↑,D,O,D,O
# O,P,→,↓,D,↑,←,P,O,O
# O,↓,←,←,O,O,↑,←,O,O
# O,↓,P,O,#,O,O,↑,D,O
# O,→,↓,P,#,O,O,↑,←,O
# O,D,→,→,→,→,→,→,↑,O
# O,O,O,O,O,O,O,O,O,O

7,10,1,2,0,0,33,4.104,0.5935673
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,P,O,P,→,→,→,↓,P,O
# S,→,→,↓,↑,O,D,→,↓,O
# O,#,#,→,↑,#,O,D,↓,O
# O,O,#,D,O,O,↓,←,←,O
# O,P,↓,←,←,←,←,O,P,O
# O,↓,←,D,#,O,D,O,O,O
# O,↓,P,O,O,O,→,→,↓,O
# O,→,→,→,→,→,↑,D,→,E
# O,O,O,O,O,O,O,O,O,O

8,10,1,1,0,0,18,4.448,0.5963913
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,P,→,→,→,→,↓,O
# O,P,→,→,↑,D,O,P,↓,O
# O,→,↑,D,O,#,D,↓,←,O
# O,↑,O,O,O,D,↓,←,O,O
# S,↑,D,↓,←,←,←,O,→,E
# O,P,↓,←,P,O,P,#,↑,O
# O,O,→,→,→,→,→,→,↑,O
# O,#,D,O,O,O,O,O,#,O
# O,O,O,O,O,O,O,O,O,O

9,10,1,0,0,0,20,4.073,0.5856307
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,P,#,→,→,↓,D,O
# O,→,→,↓,P,↑,←,↓,O,O
# O,↑,P,→,→,→,↑,↓,→,E
# O,↑,←,D,#,O,D,↓,↑,O
# O,D,↑,←,O,O,↓,←,↑,O
# O,O,→,↑,P,↓,←,P,↑,O
# S,→,↑,D,#,↓,D,#,↑,O
# O,O,P,O,#,→,→,→,↑,O
# O,O,O,O,O,O,O,O,O,O

10,10,1,2,0,0,22,4.095,0.5997401
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,D,#,P,#,P,O,D,O,O
# O,→,→,↓,D,→,→,→,↓,O
# S,↑,O,→,→,↑,#,P,↓,O
# O,P,O,D,↓,←,←,←,←,O
# O,O,D,↓,←,O,#,O,→,E
# O,O,↓,←,O,O,#,O,↑,O
# O,O,↓,P,O,P,→,→,↑,O
# O,O,→,→,→,→,↑,D,O,O
# O,O,O,O,O,O,O,O,O,O

11,10,1,0,0,0,15,4.363,0.5970819
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,D,#,O,O,D,O,P,#,O
# S,↓,P,O,O,→,→,↓,D,O
# O,→,↓,O,O,↑,P,→,↓,O
# O,P,→,↓,O,↑,←,O,↓,O
# O,O,D,↓,O,O,↑,O,↓,O
# O,↓,←,←,D,#,↑,D,→,E
# O,→,↓,P,#,O,↑,←,#,O
# O,P,→,→,→,→,→,↑,O,O
# O,O,O,O,O,O,O,O,O,O

12,10,1,0,0,0,15.5,4.173,0.5925926
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,O,O,D,O,O,#,O
# S,↓,D,O,→,→,↓,O,D,O
# O,→,→,→,↑,P,↓,O,→,E
# O,P,O,O,P,↓,←,O,↑,O
# O,O,↓,←,←,←,D,→,↑,O
# O,O,↓,O,P,O,→,↑,P,O
# O,#,↓,P,→,→,↑,D,O,O
# O,#,→,→,↑,D,#,O,O,O
# O,O,O,O,O,O,O,O,O,O

13,10,1,2,0,0,20.5,4.209,0.590241
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,O,#,P,O,P,O
# O,O,O,D,O,D,→,→,↓,O
# O,P,→,→,→,→,↑,↓,←,O
# O,→,↑,D,O,#,O,↓,O,O
# O,↑,←,←,P,O,↓,←,P,O
# O,O,P,↑,←,#,↓,D,#,O
# S,→,↓,D,↑,O,→,↓,D,O
# O,O,→,→,↑,O,O,→,→,E
# O,O,O,O,O,O,O,O,O,O

14,10,1,3,0,0,24.5,4.244,0.5935673
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,D,→,→,↓,D,O,P,#,O
# O,→,↑,P,→,→,→,→,↓,O
# O,↑,←,←,←,←,O,D,↓,O
# O,O,P,→,→,↑,D,↓,←,O
# O,#,O,↑,P,O,O,↓,P,O
# O,O,#,↑,←,←,←,→,↓,O
# O,O,O,P,#,D,↑,O,→,E
# S,→,→,→,→,→,↑,#,D,O
# O,O,O,O,O,O,O,O,O,O

15,10,1,0,0,0,16,4.052,0.5943562
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,P,O,#,O,P,O,O,D,O
# O,→,↓,D,O,→,→,→,↓,O
# O,↑,→,↓,P,↑,←,D,→,E
# O,↑,#,→,↓,D,↑,←,P,O
# S,↑,O,D,↓,#,O,↑,O,O
# O,O,D,↓,←,O,O,↑,P,O
# O,O,O,↓,P,#,O,↑,←,O
# O,O,#,→,→,→,→,→,↑,O
# O,O,O,O,O,O,O,O,O,O

16,10,1,0,0,0,17.5,3.918,0.5935673
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,→,→,↓,P,O,→,→,↓,O
# O,↑,D,→,→,→,↑,P,↓,O
# O,↑,←,P,O,D,↓,←,↓,O
# O,#,↑,←,←,←,←,↑,→,E
# O,#,D,O,O,O,D,↑,D,O
# O,O,→,↓,D,O,→,↑,#,O
# S,→,↑,→,↓,P,↑,O,O,O
# O,P,#,P,→,→,↑,O,#,O
# O,O,O,O,O,O,O,O,O,O

17,10,1,0,0,0,18,4.142,0.5946502
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,→,→,↓,P,O,O,O
# O,#,→,↑,D,→,→,↓,P,O
# O,O,↑,P,O,P,O,→,↓,O
# O,#,↑,←,D,#,O,D,↓,O
# S,→,↓,↑,O,O,D,↓,←,O
# O,D,→,↑,↓,←,←,←,O,O
# O,O,P,O,→,↓,D,#,→,E
# O,#,O,O,P,→,→,→,↑,O
# O,O,O,O,O,O,O,O,O,O

18,10,1,0,0,0,19.5,3.98,0.5802469
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,D,→,↓,O,O,→,E
# S,→,→,→,↑,↓,O,D,↑,O
# O,#,O,O,P,↓,O,→,↑,O
# O,#,O,P,↓,←,O,↑,P,O
# O,D,↓,←,←,O,O,↑,←,O
# O,↓,←,D,#,#,D,→,↑,O
# O,↓,P,O,D,→,→,↑,P,O
# O,→,→,→,→,↑,P,O,O,O
# O,O,O,O,O,O,O,O,O,O

19,10,1,0,0,0,14.5,4.152,0.597456
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,P,#,O,#,O,O
# O,D,#,D,→,→,↓,O,O,O
# O,→,→,→,↑,D,→,↓,P,O
# S,↑,P,↓,←,←,P,→,↓,O
# O,O,O,↓,D,↑,←,←,←,O
# O,O,O,→,↓,P,O,O,D,O
# O,O,#,P,→,→,→,→,→,E
# O,O,O,O,O,O,O,D,O,O
# O,O,O,O,O,O,O,O,O,O

20,10,1,3,0,0,29,4.183,0.5958605
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,P,→,→,→,→,→,→,↓,O
# O,→,↑,D,O,P,↓,←,←,O
# O,↑,D,↓,←,←,↓,O,D,O
# O,↑,↓,←,D,↑,↓,O,O,O
# O,↑,←,→,→,↑,↓,O,#,O
# O,#,P,↑,D,#,↓,D,O,O
# O,P,#,↑,←,P,→,→,↓,O
# S,→,→,→,↑,#,O,P,→,E
# O,O,O,O,O,O,O,O,O,O

21,10,1,2,0,0,22,3.92,0.5972222
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,↓,P,→,→,↓,D,O,→,E
# O,→,→,↑,P,→,↓,D,↑,O
# O,O,#,#,O,D,↓,→,↑,O
# O,O,O,O,D,↓,←,↑,P,O
# O,P,↓,←,←,←,O,↑,←,O
# O,↓,←,O,#,P,O,→,↑,O
# O,→,→,→,→,→,→,↑,D,O
# O,D,O,P,O,#,O,#,O,O
# O,O,O,O,O,O,O,O,O,O

22,10,1,0,0,0,22.5,4.5,0.6481481
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,→,→,→,→,↓,P,O,O
# O,O,↑,P,O,P,→,→,↓,O
# O,D,↑,←,#,O,O,D,↓,O
# O,#,#,↑,D,↓,←,←,←,O
# O,O,P,↑,←,→,↓,P,#,O
