Iteration,Difficulty,Attempts,Backtracks,NearSolves,Resets,TimeTaken,GATime,BestFitness
1,5,1,0,0,0,14,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,D,#,O,#,O,O,O,O
# O,#,→,→,→,→,→,→,↓,O
# O,#,↑,←,←,←,←,←,↓,O
# O,O,#,O,O,#,P,↑,→,E
# O,O,O,O,→,→,→,↑,O,O
# O,O,O,#,↑,D,#,#,#,O
# O,#,#,O,↑,←,←,←,#,O
# S,→,→,→,→,→,→,↑,P,O
# O,O,O,O,O,O,O,O,O,O

2,5,1,0,0,0,15,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,#,→,→,→,→,↓,O
# O,→,→,→,↑,P,#,O,↓,O
# O,↑,←,←,←,←,#,#,↓,O
# O,D,O,#,#,↑,O,O,↓,O
# O,#,O,O,O,↑,←,O,↓,O
# O,#,O,#,O,P,↑,O,↓,O
# O,#,O,P,#,→,↑,D,↓,O
# S,→,→,→,→,↑,D,#,→,E
# O,O,O,O,O,O,O,O,O,O

3,5,1,0,0,0,9.5,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,#,O,#,O,→,E
# O,O,O,#,#,D,→,→,↑,O
# O,O,O,O,O,→,↑,P,#,O
# S,→,↓,O,O,↑,←,←,#,O
# O,O,↓,#,#,#,O,↑,O,O
# O,O,↓,O,#,→,→,↑,O,O
# O,O,→,→,→,↑,D,O,O,O
# O,O,P,O,O,#,#,#,O,O
# O,O,O,O,O,O,O,O,O,O

4,5,1,0,0,0,11.5,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,P,O,O,O,O,O,#,O,O
# S,→,↓,#,O,#,#,O,O,O
# O,O,↓,O,#,D,O,O,#,O
# O,O,→,↓,O,→,→,→,↓,O
# O,O,D,↓,O,↑,←,←,→,E
# O,#,#,↓,#,→,→,↑,P,O
# O,O,#,→,→,↑,D,#,O,O
# O,O,#,P,O,O,#,O,O,O
# O,O,O,O,O,O,O,O,O,O

5,5,1,0,0,0,9,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,O,#,O,O,O,O
# S,↓,O,#,#,#,O,O,#,O
# O,↓,O,O,O,#,O,O,O,O
# O,↓,O,#,O,O,O,O,O,O
# O,→,↓,D,O,O,O,#,D,O
# O,P,→,→,→,→,↓,O,→,E
# O,O,O,O,O,#,→,→,↑,O
# O,O,#,O,O,#,P,O,#,O
# O,O,O,O,O,O,O,O,O,O

6,5,1,0,0,0,13,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,→,→,→,→,→,↓,O
# O,O,O,↑,←,←,←,P,↓,O
# O,O,O,D,O,P,↑,←,↓,O
# O,#,#,#,#,→,→,↑,↓,O
# O,O,O,O,O,↑,D,O,↓,O
# S,→,→,→,→,↑,#,O,→,E
# O,#,#,O,O,O,#,#,O,O
# O,O,#,#,O,#,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

7,5,1,0,0,0,10,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,O,O,O,D,O,#,O
# O,O,→,→,→,→,→,↓,O,O
# S,→,↑,P,O,#,O,↓,#,O
# O,#,O,#,O,#,↓,←,#,O
# O,O,O,#,O,#,↓,P,→,E
# O,O,O,O,O,O,↓,O,↑,O
