Iteration,Difficulty,Attempts,Backtracks,NearSolves,Resets,TimeTaken,GATime,BestFitness
1,6,1,0,0,0,13,0.637,0.7863634
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,O,D,O,#,O,O
# S,→,↓,#,#,→,→,→,↓,O
# O,#,↓,O,#,↑,O,O,↓,O
# O,O,→,↓,#,↑,#,O,→,E
# O,#,P,↓,O,↑,#,O,#,O
# O,↓,←,←,#,↑,O,O,O,O
# O,→,↓,D,O,↑,#,O,O,O
# O,P,→,→,→,↑,#,O,O,O
# O,O,O,O,O,O,O,O,O,O

2,7,1,0,0,0,16.5,0.568,0.8434343
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,↓,O,O,D,O,P,#,O,O
# O,↓,#,O,→,→,→,↓,#,O
# O,→,↓,P,↑,O,#,↓,#,O
# O,P,→,→,↑,#,O,↓,#,O
# O,#,O,D,↓,←,←,←,O,O
# O,↓,←,←,←,O,O,D,O,O
# O,→,→,→,→,→,→,→,↓,O
# O,P,#,#,#,O,D,#,→,E
# O,O,O,O,O,O,O,O,O,O

3,8,1,1,0,0,20,1.762,0.7107044
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,→,→,→,→,→,→,↓,O
# O,D,↑,←,←,#,P,#,↓,O
# O,O,#,D,↑,←,←,O,↓,O
# O,O,#,→,→,→,↑,P,→,E
# O,#,#,↑,←,←,←,←,←,O
# S,→,→,↓,#,O,O,P,↑,O
# O,O,O,→,→,→,→,→,↑,O
# O,O,#,P,O,D,#,#,D,O
# O,O,O,O,O,O,O,O,O,O

4,9,1,3,0,0,19,1.819,0.4955877
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,P,O,P,O,O,#,O,O
# S,→,↓,#,→,→,↓,D,#,O
# O,↓,←,P,↑,←,→,→,↓,O
# O,↓,D,#,P,↑,←,#,→,E
# O,→,→,→,→,↓,↑,#,O,O
# O,P,O,D,↓,←,↑,#,D,O
# O,↓,←,←,←,D,↑,←,←,O
# O,→,→,→,→,→,→,→,↑,O
# O,O,O,O,O,O,O,O,O,O

5,10,1,1,0,0,21.5,4.148,0.5884774
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,→,↓,#,O,→,→,↓,O,O
# O,O,↓,D,→,↑,D,↓,O,O
# O,#,→,→,↑,P,↓,←,D,O
# O,#,P,↓,←,←,←,O,→,E
# O,P,↓,←,O,#,#,O,↑,O
# O,O,→,→,→,↓,D,→,↑,O
# O,O,P,↓,←,←,→,↑,P,O
# O,O,#,→,→,→,↑,D,#,O
# O,O,O,O,O,O,O,O,O,O

6,10,1,0,0,0,19.5,4.27,0.5925926
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,D,→,→,↓,P,O,O,O
# O,#,→,↑,P,→,→,→,↓,O
# O,→,↑,P,#,O,D,O,↓,O
# O,↑,D,O,#,O,O,O,↓,O
# O,↑,←,D,O,P,O,#,→,E
# S,↓,↑,←,←,←,←,←,#,O
# O,→,↓,D,→,→,→,↑,O,O
# O,P,→,→,↑,P,O,D,O,O
# O,O,O,O,O,O,O,O,O,O

7,10,1,1,0,0,16.5,4.316,0.6025641
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,O,#,O,D,O,O
# O,O,#,P,O,P,O,→,↓,O
# O,P,→,→,→,↓,D,↑,↓,O
# O,→,↑,D,↓,←,O,↑,→,E
# S,↑,D,↓,←,D,#,↑,P,O
# O,O,↓,←,P,O,#,↑,←,O
# O,O,↓,P,O,→,→,→,↑,O
# O,O,→,→,→,↑,D,O,#,O
# O,O,O,O,O,O,O,O,O,O

8,10,1,0,0,0,18,4.144,0.5946502
# Map Data Below
