Iteration,Difficulty,Attempts,Backtracks,NearSolves,Resets,TimeTaken,GATime,BestFitness
1,6,1,0,0,0,18,0.566,0.7863634
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,D,#,#,→,→,→,↓,O
# O,#,→,→,→,↑,P,O,↓,O
# O,O,↑,←,←,←,←,D,↓,O
# O,O,O,D,O,#,↑,←,↓,O
# O,O,O,→,→,↓,O,↑,↓,O
# O,#,#,↑,#,↓,O,↑,↓,O
# S,→,→,↑,P,→,→,↑,→,E
# O,#,#,#,#,P,#,O,O,O
# O,O,O,O,O,O,O,O,O,O

2,7,1,0,0,0,18.5,0.525,0.8434343
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,P,→,→,↓,O,P,O,O
# O,#,→,↑,P,→,→,→,↓,O
# O,O,↑,D,#,D,O,#,↓,O
# O,#,↑,O,#,#,O,O,↓,O
# O,O,↑,#,D,#,O,P,↓,O
# O,O,↑,O,↓,←,←,←,←,O
# O,O,↑,#,→,→,↓,D,→,E
# S,→,↑,#,O,#,→,→,↑,O
# O,O,O,O,O,O,O,O,O,O

3,8,1,0,0,0,16,1.825,0.5894924
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,D,#,O,#,P,#,O,O,O
# O,→,→,→,→,→,→,↓,D,O
# O,↑,P,#,O,P,↓,←,#,O
# O,↑,←,O,O,#,→,→,↓,O
# S,→,↑,O,#,O,#,D,↓,O
# O,↓,←,←,←,←,←,←,←,O
# O,↓,P,O,#,D,O,#,→,E
# O,→,→,→,→,→,→,→,↑,O
# O,O,O,O,O,O,O,O,O,O

4,9,1,0,0,0,23,1.616,0.4772727
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,P,O,#,→,→,→,E
# O,#,P,→,→,→,↑,D,#,O
# S,→,↓,↑,←,←,←,O,O,O
# O,D,→,↓,O,P,↑,←,←,O
# O,#,P,↓,#,→,→,→,↑,O
# O,↓,←,←,#,↑,←,←,D,O
# O,→,↓,P,O,#,D,↑,O,O
# O,D,→,→,→,→,→,↑,O,O
# O,O,O,O,O,O,O,O,O,O

5,10,1,0,0,0,14.5,3.862,0.588007
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,#,P,→,→,↓,D,O,O
# O,O,D,→,↑,P,→,→,↓,O
# O,#,O,↑,O,O,O,P,↓,O
# O,#,O,↑,O,O,O,↓,←,O
# O,P,O,↑,←,O,O,→,↓,O
# S,↓,O,P,↑,←,#,D,↓,O
# O,→,→,↓,D,↑,#,O,→,E
# O,D,O,→,→,↑,O,#,O,O
# O,O,O,O,O,O,O,O,O,O

6,10,1,0,0,0,15,3.817,0.6094276
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,D,→,→,→,→,→,↓,P,O
# O,→,↑,P,O,O,D,↓,O,O
# O,↑,←,←,P,O,↓,←,O,O
# O,O,O,↑,←,D,↓,#,→,E
# O,D,O,D,↑,O,↓,→,↑,O
# O,→,→,→,↑,P,→,↑,D,O
# O,↑,O,O,#,O,P,O,O,O
# S,↑,P,#,O,O,#,O,#,O
# O,O,O,O,O,O,O,O,O,O

7,10,1,0,0,0,15.5,3.851,0.5997401
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,P,→,→,→,→,↓,O,O
# O,→,→,↑,P,O,D,↓,#,O
# S,↑,D,O,#,P,↓,←,O,O
# O,O,#,O,D,↓,←,O,#,O
# O,#,O,O,↓,←,P,O,O,O
# O,O,D,↓,←,D,O,O,→,E
# O,P,↓,←,P,→,→,→,↑,O
# O,O,→,→,→,↑,D,O,O,O
# O,O,O,O,O,O,O,O,O,O

8,10,1,0,0,0,16,3.937,0.6102293
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,D,→,→,↓,O,O,O,#,O
# O,→,↑,P,→,→,↓,O,O,O
# O,↑,D,O,P,O,→,↓,P,O
# O,↑,←,←,#,O,D,↓,→,E
# O,#,D,↑,←,D,↓,←,↑,O
# S,→,↓,P,↑,O,↓,P,↑,O
# O,O,→,→,↑,O,→,→,↑,O
# O,O,P,O,O,O,#,#,D,O
# O,O,O,O,O,O,O,O,O,O

9,10,1,0,0,0,15,3.971,0.5935673
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,→,↓,P,O,O,D,#,O,O
