Iteration,Difficulty,Attempts,Backtracks,NearSolves,Resets,TimeTaken,GATime,BestFitness
1,5,1,3,0,0,34,0.276,0.7589125
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,→,→,→,→,→,→,↓,→,E
# O,O,#,#,O,O,P,↓,↑,O
# O,↓,←,←,←,←,←,←,↑,O
# O,↓,O,#,D,#,O,#,↑,O
# O,↓,#,O,#,#,O,#,↑,O
# O,↓,O,#,O,#,#,#,↑,O
# O,→,→,→,→,→,→,→,↑,O
# O,P,O,O,O,O,O,O,D,O
# O,O,O,O,O,O,O,O,O,O

2,6,1,3,0,0,25,0.534,0.7547845
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,#,P,#,P,→,↓,O
# S,→,→,↓,→,→,↓,↑,↓,O
# O,#,P,↓,↑,#,→,↑,↓,O
# O,D,↓,←,↑,#,D,↓,←,O
# O,O,→,→,↑,O,#,↓,#,O
# O,O,O,O,O,O,O,↓,#,O
# O,#,O,#,O,O,#,→,→,E
# O,O,O,O,O,#,O,D,#,O
# O,O,O,O,O,O,O,O,O,O

3,5,1,4,0,0,33,0.259,0.7863635
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,→,→,→,→,→,→,→,↓,O
# O,↑,P,↓,←,←,D,O,↓,O
# O,↑,←,←,D,↑,←,#,↓,O
# O,#,O,#,O,O,↑,O,→,E
# O,O,#,O,#,#,↑,←,#,O
# O,#,D,#,P,O,P,↑,O,O
# S,→,→,→,→,→,→,↑,#,O
# O,#,P,#,O,O,D,O,O,O
# O,O,O,O,O,O,O,O,O,O

4,5,1,2,0,0,31,0.241,0.7863635
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,→,→,→,→,→,→,→,↓,O
# O,P,O,O,O,#,#,D,↓,O
# O,#,O,#,O,O,O,↓,←,O
# O,#,P,O,#,O,O,↓,P,O
# O,O,↓,←,←,←,←,←,#,O
# O,#,→,→,→,→,↓,D,O,O
# O,#,O,O,O,D,→,→,↓,O
# O,O,#,#,#,O,O,#,→,E
# O,O,O,O,O,O,O,O,O,O

5,5,1,2,0,0,33,0.252,0.7863635
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,P,O,#,#,#,#,P,O,O
# O,→,→,→,→,→,→,↓,O,O
# O,↑,#,#,#,#,D,↓,→,E
# O,↑,#,O,D,O,O,↓,↑,O
# O,↑,←,←,←,O,O,↓,↑,O
# O,O,#,O,↑,#,O,→,↑,O
# O,→,→,→,↑,O,O,D,O,O
# S,↑,P,#,O,O,#,O,O,O
# O,O,O,O,O,O,O,O,O,O

6,5,1,3,0,0,31,0.252,0.7863635
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,O,O,D,O,O,O,O
# O,#,O,#,O,→,→,→,↓,O
# S,↓,O,O,→,↑,#,#,↓,O
# O,↓,O,#,↑,←,←,←,→,E
# O,↓,O,#,P,O,D,↑,O,O
# O,→,→,→,→,→,↓,↑,←,O
# O,P,O,O,#,P,→,→,↑,O
# O,#,O,#,#,#,O,#,D,O
# O,O,O,O,O,O,O,O,O,O

7,6,1,1,0,0,27,0.521,0.7547845
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,→,→,→,→,↓,P,O,O,O
# O,O,↓,←,←,←,#,#,O,O
# O,O,→,↓,O,#,O,O,O,O
# O,O,D,↓,#,→,→,→,→,E
# O,D,↓,←,O,↑,P,#,O,O
# O,O,↓,P,O,↑,←,D,#,O
# O,#,→,→,→,→,↑,#,O,O
# O,#,#,O,O,#,#,O,#,O
# O,O,O,O,O,O,O,O,O,O

8,5,1,4,0,0,33,0.285,0.7863635
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,→,→,→,↓,P,O,#,#,O
# O,O,↓,←,←,#,#,O,O,O
# O,#,→,→,→,→,→,↓,#,O
# O,O,D,#,P,↓,←,←,P,O
# O,#,O,↓,←,←,O,D,O,O
# O,↓,←,←,P,#,#,#,O,O
# O,→,↓,D,O,O,O,#,O,O
# O,D,→,→,→,→,→,→,→,E
# O,O,O,O,O,O,O,O,O,O

9,4,1,5,0,0,23,0.242,0.8650793
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,→,→,↓,O,#,#,#,O,O
# O,O,↓,←,#,O,O,O,O,O
# O,O,↓,P,→,→,↓,D,#,O
# O,#,→,→,↑,P,↓,O,→,E
# O,#,D,↓,←,←,←,O,↑,O
# O,O,#,↓,P,#,D,O,↑,O
# O,O,#,→,→,→,→,→,↑,O
# O,O,O,#,#,O,O,#,O,O
# O,O,O,O,O,O,O,O,O,O

10,5,1,2,0,0,24,0.251,0.7863635
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,#,O,O,#,#,O,O
# O,O,#,#,D,#,O,→,→,E
# O,O,O,O,→,↓,O,↑,D,O
# S,→,→,→,↑,↓,#,↑,←,O
# O,O,O,P,↓,←,O,#,↑,O
# O,#,O,O,↓,D,#,#,↑,O
# O,#,O,O,→,→,→,→,↑,O
# O,#,O,#,P,O,O,O,P,O
# O,O,O,O,O,O,O,O,O,O

11,5,1,2,0,0,33,0.255,0.7863635
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,P,#,O,#,O,#,#,O,O
# O,→,→,→,→,→,→,↓,O,O
# O,↑,O,O,O,#,O,↓,→,E
# O,↑,O,O,O,#,#,→,↑,O
# O,↑,←,←,←,←,←,D,#,O
# O,P,O,O,#,D,↑,#,O,O
# O,→,→,→,→,→,↑,D,#,O
# S,↑,O,O,O,P,#,#,O,O
# O,O,O,O,O,O,O,O,O,O

12,4,1,4,0,0,35,0.25,0.8650793
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,O,#,D,O,#,O
# O,P,#,O,#,P,→,→,↓,O
# O,→,→,→,→,→,↑,O,↓,O
# O,↑,O,O,O,#,D,O,↓,O
# S,↑,#,O,#,O,#,#,↓,O
# O,O,O,↓,←,←,←,←,←,O
# O,#,O,→,→,→,→,↓,P,O
# O,#,#,D,#,O,O,→,→,E
# O,O,O,O,O,O,O,O,O,O

13,5,1,2,0,0,26,0.242,0.7589125
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,#,O,#,P,O,D,O
# O,O,O,O,O,O,→,→,↓,O
# O,O,#,O,O,O,↑,#,↓,O
# O,O,#,#,#,#,↑,O,↓,O
# O,P,O,#,D,#,↑,#,↓,O
# O,→,→,→,↓,#,↑,O,↓,O
# O,↑,O,P,→,→,↑,D,↓,O
# S,↑,O,O,#,O,#,O,→,E
# O,O,O,O,O,O,O,O,O,O

14,6,1,2,0,0,25,0.686,0.6916664
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,→,→,→,→,↓,O,#,#,O
# O,P,O,#,D,↓,O,O,#,O
# O,↓,←,←,←,←,#,#,O,O
# O,→,→,→,↓,O,O,O,→,E
# O,P,O,D,↓,#,O,O,↑,O
# O,O,O,↓,←,O,O,O,↑,O
# O,#,O,→,→,→,→,→,↑,O
# O,#,#,P,#,D,#,O,#,O
# O,O,O,O,O,O,O,O,O,O

15,5,1,5,0,0,29,0.252,0.7589125
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,#,#,→,→,↓,#,O
# S,↓,P,#,P,↑,←,↓,#,O
# O,→,→,→,→,→,↑,↓,#,O
# O,O,O,O,O,O,D,↓,O,O
# O,#,↓,←,←,←,←,←,O,O
# O,O,↓,P,O,#,D,O,#,O
# O,#,→,→,→,→,↓,D,→,E
# O,O,O,O,#,O,→,→,↑,O
# O,O,O,O,O,O,O,O,O,O

16,5,1,2,0,0,29,0.245,0.7863635
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,→,→,→,→,→,→,→,E
# O,O,↑,←,←,←,←,←,O,O
# O,O,D,#,O,O,P,↑,#,O
# O,#,O,D,→,→,→,↑,#,O
# O,O,→,→,↑,P,#,#,O,O
# O,#,↑,P,#,#,#,#,O,O
# O,O,↑,←,D,O,O,#,O,O
# S,→,→,↑,O,O,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

17,5,1,2,0,0,29,0.227,0.7863635
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,#,#,O,→,→,→,→,E
# O,#,→,→,→,↑,D,O,O,O
# O,D,↑,←,←,←,←,←,O,O
# O,O,O,O,#,#,P,↑,←,O
# O,O,O,O,P,O,O,P,↑,O
# O,#,#,O,→,→,→,→,↑,O
# O,#,O,#,↑,#,O,D,O,O
# S,→,→,→,↑,#,O,O,#,O
# O,O,O,O,O,O,O,O,O,O

18,4,1,7,0,0,35,0.258,0.8555555
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,P,#,O,#,#,#,O,O
# O,O,→,→,↓,D,O,#,O,O
# O,O,↑,←,→,→,↓,P,→,E
# S,→,↓,↑,O,↓,←,#,↑,O
# O,P,↓,↑,O,↓,#,#,↑,O
# O,O,↓,↑,O,→,→,→,↑,O
# O,O,→,↑,#,D,O,O,O,O
# O,#,D,O,#,#,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

19,4,1,3,0,0,26,0.246,0.8650793
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,P,#,O,#,#,O,#,O
# O,O,→,↓,D,O,O,#,O,O
# O,#,↑,→,→,→,→,→,↓,O
# O,O,↑,←,←,←,O,#,→,E
# O,P,#,O,→,↑,D,#,#,O
# O,→,→,→,↑,P,O,O,O,O
# O,↑,#,D,O,O,O,O,O,O
# S,↑,O,#,O,#,O,#,O,O
# O,O,O,O,O,O,O,O,O,O

20,5,1,2,0,0,22,0.273,0.7863635
# Map Data Below
