Iteration,Difficulty,Attempts,Backtracks,NearSolves,Resets,TimeTaken,GATime,BestFitness
1,5,1,2,0,0,36,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,P,#,O,#,O,#,O,O
# O,O,→,↓,O,#,O,#,#,O
# O,O,↑,→,→,→,→,→,↓,O
# O,O,↑,D,#,D,O,#,↓,O
# O,O,↑,←,←,←,O,#,→,E
# O,O,O,O,O,↑,←,#,#,O
# O,O,#,O,#,P,↑,O,O,O
# S,→,→,→,→,→,↑,O,O,O
# O,O,O,O,O,O,O,O,O,O

2,5,1,1,0,0,30,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,D,O,O,#,O,#,O,O,O
# O,→,→,↓,#,→,→,→,↓,O
# S,↑,P,↓,#,↑,D,#,↓,O
# O,O,↓,←,#,↑,←,←,↓,O
# O,#,↓,O,O,O,D,↑,↓,O
# O,O,↓,O,→,→,↓,↑,→,E
# O,O,→,→,↑,P,→,↑,O,O
# O,#,P,O,#,#,#,#,#,O
# O,O,O,O,O,O,O,O,O,O

3,5,1,4,0,0,27,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,#,O,O,#,D,O,O
# O,#,O,O,O,#,#,→,↓,O
# S,→,→,→,→,↓,P,↑,→,E
# O,O,O,#,↓,←,O,↑,#,O
# O,O,O,O,↓,D,O,↑,#,O
# O,O,O,O,→,→,→,↑,O,O
# O,O,O,O,P,#,O,#,#,O
# O,O,O,#,O,O,O,O,#,O
# O,O,O,O,O,O,O,O,O,O

4,5,1,0,0,0,19,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,#,O,#,O,O,O
# O,#,#,O,#,O,O,D,O,O
# O,O,P,O,#,O,O,→,↓,O
# O,O,→,↓,P,#,#,↑,→,E
# S,→,↑,→,↓,D,O,↑,O,O
# O,#,#,O,→,→,→,↑,O,O
# O,O,O,#,#,O,O,O,O,O
# O,O,O,O,O,#,O,O,O,O
# O,O,O,O,O,O,O,O,O,O

5,5,1,7,0,0,39,0,0
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,D,O,#,#,#,O,O,O
# O,P,→,→,↓,#,D,O,P,O
# S,→,↑,P,↓,P,→,→,↓,O
# O,#,↓,←,←,→,↑,↓,←,O
# O,O,↓,D,O,↑,#,↓,D,O
# O,O,→,→,→,↑,#,→,↓,O
