Iteration,Difficulty,Attempts,Backtracks,NearSolves,Resets,TimeTaken,GATime,BestFitness
1,5,1,1,0,0,31,0.246,0.7589125
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,D,#,#,O,#,#,O
# O,#,O,→,→,→,→,↓,#,O
# O,O,O,↑,#,↓,←,←,O,O
# O,#,O,↑,←,↓,#,P,#,O
# S,→,→,→,↑,↓,O,#,O,O
# O,#,O,O,P,↓,O,#,→,E
# O,D,↓,←,←,←,O,O,↑,O
# O,O,→,→,→,→,→,→,↑,O
# O,O,O,O,O,O,O,O,O,O

2,5,1,4,0,0,31,0.244,0.7863635
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,D,O,D,O,#,#,O
# S,→,→,↓,O,→,↓,O,#,O
# O,#,P,↓,O,↑,↓,#,→,E
# O,O,↓,←,O,↑,↓,O,↑,O
# O,#,→,→,→,↑,↓,O,↑,O
# O,O,P,O,P,↓,←,O,↑,O
# O,#,O,#,O,→,→,→,↑,O
# O,#,O,O,O,#,#,D,#,O
# O,O,O,O,O,O,O,O,O,O

3,6,1,5,0,0,29,0.576,0.7387444
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,→,→,↓,#,P,#,O,#,O
# O,#,P,↓,#,→,↓,P,#,O
# O,↓,←,←,O,↑,→,↓,O,O
# O,↓,D,#,O,↑,D,↓,→,E
# O,→,→,→,→,↑,↓,←,↑,O
# O,O,#,O,O,O,→,→,↑,O
# O,#,O,O,#,O,D,O,#,O
# O,#,O,O,O,O,O,#,O,O
# O,O,O,O,O,O,O,O,O,O

4,6,1,21,0,0,49,0.68,0.7589125
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,#,P,#,O,O,→,E
# O,O,#,O,→,↓,O,#,↑,O
# O,→,→,→,↑,↓,O,→,↑,O
# S,↑,D,#,#,→,↓,↑,D,O
# O,P,O,O,#,D,↓,↑,←,O
# O,O,O,↓,←,←,←,D,↑,O
# O,#,#,→,→,↓,P,#,↑,O
# O,O,#,P,O,→,→,→,↑,O
# O,O,O,O,O,O,O,O,O,O

5,7,1,3,0,0,29,0.55,0.8555555
# Map Data Below
