Iteration,Difficulty,Attempts,Backtracks,NearSolves,Resets,TimeTaken,GATime,BestFitness
1,6,1,0,0,0,20,0.555,0.7547845
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,P,#,#,O,#,O,O,O
# O,#,→,↓,#,#,O,#,O,O
# S,→,↑,↓,O,#,#,O,O,O
# O,O,↓,←,O,O,O,#,O,O
# O,#,→,→,→,→,↓,D,O,O
# O,O,D,#,P,O,→,↓,P,O
# O,O,O,O,O,O,O,→,→,E
# O,O,O,O,O,O,O,D,#,O
# O,O,O,O,O,O,O,O,O,O

2,6,1,1,0,0,39,0.495,0.7863634
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,→,→,→,→,↓,→,E
# O,#,P,↑,←,#,O,↓,↑,O
# O,O,#,D,↑,←,O,↓,↑,O
# O,O,O,#,P,↑,O,↓,↑,O
# O,→,→,→,↓,↑,#,↓,↑,O
# S,↑,P,O,→,↑,D,↓,↑,O
# O,D,#,O,P,#,#,→,↑,O
# O,O,O,#,#,O,#,D,O,O
# O,O,O,O,O,O,O,O,O,O

3,6,1,0,0,0,34,0.488,0.7435063
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,↓,P,O,P,O,O,O,O,O
# O,→,→,→,→,↓,#,O,→,E
# O,D,#,#,#,→,↓,P,↑,O
# O,O,#,O,#,D,→,↓,↑,O
# O,O,#,O,O,#,#,↓,↑,O
# O,#,O,#,P,↓,←,←,↑,O
# O,D,↓,←,←,←,#,D,↑,O
# O,O,→,→,→,→,→,→,↑,O
# O,O,O,O,O,O,O,O,O,O

4,6,1,3,0,0,41,0.52,0.7589125
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,P,#,D,#,O,O,O
# S,→,→,↓,D,→,↓,P,O,O
# O,P,O,→,→,↑,→,↓,O,O
# O,#,O,#,#,O,D,↓,#,O
# O,O,O,O,O,#,#,↓,→,E
# O,↓,←,←,←,←,←,←,↑,O
# O,→,→,→,→,→,↓,P,↑,O
# O,D,#,#,#,O,→,→,↑,O
# O,O,O,O,O,O,O,O,O,O

5,6,1,1,0,0,37,0.475,0.7547845
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,#,#,#,O,O,O
# O,#,D,→,→,↓,P,O,D,O
# S,↓,→,↑,P,→,→,→,↓,O
# O,→,↑,D,↓,←,←,←,←,O
# O,P,↓,←,←,O,#,O,O,O
# O,↓,←,#,#,#,#,#,→,E
# O,→,→,→,→,→,→,→,↑,O
# O,P,O,O,#,D,O,#,O,O
# O,O,O,O,O,O,O,O,O,O

6,6,1,1,0,0,38,0.498,0.7863634
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,P,O,O,#,#,O,O
# O,#,O,→,↓,D,#,O,O,O
# S,→,→,↑,→,→,↓,#,O,O
# O,#,D,O,O,O,→,↓,D,O
# O,↓,←,←,#,O,P,↓,#,O
# O,↓,P,↑,←,←,←,←,→,E
# O,→,→,→,→,↓,D,O,↑,O
# O,#,#,P,#,→,→,→,↑,O
# O,O,O,O,O,O,O,O,O,O

7,6,1,1,0,0,37,0.491,0.7308081
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,#,O,#,D,→,↓,#,O
# O,P,O,→,→,→,↑,↓,O,O
# O,→,→,↑,D,O,P,↓,#,O
# O,↑,O,D,O,#,↓,←,O,O
# S,↑,↓,←,←,←,←,#,O,O
# O,↓,←,#,#,O,P,O,→,E
# O,→,→,→,→,→,→,→,↑,O
# O,P,#,#,D,O,#,O,O,O
# O,O,O,O,O,O,O,O,O,O

8,5,1,6,0,0,58,0.222,0.7863635
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,→,→,→,→,→,→,↓,P,O
# O,↑,P,O,#,#,O,→,↓,O
# O,↑,←,D,#,#,#,D,↓,O
# O,#,↑,←,O,↓,←,←,←,O
# O,#,O,↑,←,↓,O,D,O,O
# O,#,O,P,↑,↓,O,#,#,O
# S,→,→,→,↑,→,→,→,→,E
# O,O,O,O,#,P,#,D,O,O
# O,O,O,O,O,O,O,O,O,O

9,5,1,2,0,0,33,0.202,0.7589125
# Map Data Below
