Iteration,Difficulty,Attempts,Backtracks,NearSolves,Resets,TimeTaken,GATime,BestFitness
1,4,1,1,0,0,54,0.24,0.8504273
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,P,O,O,O,O,O,O,O
# O,O,→,→,→,→,↓,P,O,O
# S,→,↑,O,D,#,↓,O,#,O
# O,O,O,#,O,O,↓,O,→,E
# O,#,O,O,O,O,↓,#,↑,O
# O,O,O,O,#,O,↓,O,↑,O
# O,#,O,O,#,O,→,→,↑,O
# O,O,O,#,#,O,D,#,#,O
# O,O,O,O,O,O,O,O,O,O

2,3,4,32,2,3,290,0.135,0.7976188
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,#,O,#,O,O,#,O
# O,O,#,O,D,O,O,O,#,O
# O,O,P,#,→,→,↓,O,→,E
# O,D,→,→,↑,#,↓,D,↑,O
# O,→,↑,O,#,O,→,↓,↑,O
# O,↑,←,O,#,#,O,↓,↑,O
# S,→,↑,O,O,O,#,→,↑,O
# O,O,P,#,O,O,#,P,#,O
# O,O,O,O,O,O,O,O,O,O

3,2,1,6,0,0,66,0.139,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,#,O,O,#,O,O,O
# O,#,#,O,#,O,#,O,#,O
# O,#,P,#,O,O,#,O,→,E
# O,O,→,→,→,→,→,↓,↑,O
# O,#,↑,O,O,#,#,↓,↑,O
# S,→,↑,D,O,#,O,↓,↑,O
# O,P,O,O,#,O,O,→,↑,O
# O,#,O,O,#,O,O,D,O,O
# O,O,O,O,O,O,O,O,O,O

4,2,1,0,0,0,42,0.158,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,→,→,↓,O,O,O,#,#,O
# O,#,P,↓,O,O,O,#,O,O
# O,#,#,↓,O,O,O,O,#,O
# O,O,O,↓,#,O,O,O,O,O
# O,O,O,↓,#,O,#,O,O,O
# O,#,#,→,→,→,→,→,→,E
# O,O,O,D,O,O,#,#,O,O
# O,O,#,O,O,#,O,#,#,O
# O,O,O,O,O,O,O,O,O,O

5,3,1,0,0,0,30,0.16,0.7976188
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,#,O,O,#,O,#,O
# O,O,#,O,O,#,O,D,#,O
# O,#,#,O,O,#,#,→,→,E
# O,O,O,O,#,#,#,↑,O,O
# O,#,O,O,O,O,O,↑,O,O
# O,O,O,O,O,O,#,↑,O,O
# O,#,O,O,#,P,O,↑,O,O
# S,→,→,→,→,→,→,↑,O,O
# O,O,O,O,O,O,O,O,O,O

6,2,2,9,0,1,184,0.129,0.733683
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,#,O,O,#,O,O
# O,#,O,O,O,O,#,O,O,O
# S,→,→,→,↓,D,O,O,P,O
# O,#,O,P,→,→,→,→,↓,O
# O,#,#,O,O,D,↓,←,←,O
# O,O,#,#,O,#,→,→,↓,O
# O,#,O,#,#,#,O,O,↓,O
# O,O,#,#,O,O,O,O,→,E
# O,O,O,O,O,O,O,O,O,O

7,2,1,2,0,0,46,0.138,0.715368
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,O,#,O,#,O,O,O
# O,O,O,#,D,O,P,O,#,O
# S,→,→,→,→,→,→,→,↓,O
# O,O,P,O,#,#,D,#,↓,O
# O,O,O,O,O,O,#,O,↓,O
# O,O,#,O,#,#,O,O,↓,O
# O,O,O,#,O,#,#,O,↓,O
# O,#,O,O,O,#,#,O,→,E
# O,O,O,O,O,O,O,O,O,O

