Iteration,Difficulty,Attempts,Backtracks,NearSolves,Resets,TimeTaken,GATime,BestFitness
1,6,1,1,0,0,14.5,1.986,0.7863634
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,P,O,#,P,O,O,O,O
# O,#,→,→,→,→,→,↓,D,O
# S,→,↑,O,D,#,↓,←,O,O
# O,O,↓,←,←,←,←,D,O,O
# O,O,↓,#,#,O,P,#,#,O
# O,#,↓,O,O,#,O,D,#,O
# O,O,→,→,→,→,→,→,↓,O
# O,#,P,O,#,#,O,O,→,E
# O,O,O,O,O,O,O,O,O,O

2,7,1,2,0,0,17.5,1.524,0.7365079
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,#,→,→,↓,#,O,O
# S,↓,P,→,↑,P,↓,O,O,O
# O,↓,O,↑,P,#,↓,#,O,O
# O,↓,O,↑,←,D,↓,#,O,O
# O,↓,#,P,↑,←,↓,#,→,E
# O,→,→,→,↓,↑,↓,#,↑,O
# O,D,O,#,→,↑,→,→,↑,O
# O,#,O,#,D,#,D,O,O,O
# O,O,O,O,O,O,O,O,O,O

3,8,1,0,0,0,18,2.849,0.5753968
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,→,→,→,↓,#,O,#,D,O
# O,↑,P,#,↓,D,→,↓,→,E
# O,↑,←,D,→,↓,↑,↓,↑,O
# S,→,↑,O,O,→,↑,↓,↑,O
# O,O,O,#,#,P,↓,←,↑,O
# O,O,O,#,↓,←,←,O,↑,O
# O,#,#,#,↓,P,O,O,↑,O
# O,O,#,O,→,→,→,→,↑,O
# O,O,O,O,O,O,O,O,O,O

4,9,1,1,0,0,17.5,2.959,0.5143847
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,→,→,→,↓,D,#,O,O,O
# O,↑,P,#,→,→,↓,O,O,O
# O,↑,←,←,#,#,↓,O,O,O
# O,O,D,↑,#,O,→,↓,D,O
# O,#,→,↑,O,O,P,↓,#,O
# O,P,↑,↓,←,←,←,←,D,O
# O,→,↑,→,↓,D,#,P,→,E
# S,↑,O,P,→,→,→,→,↑,O
# O,O,O,O,O,O,O,O,O,O

5,10,1,1,0,0,28,5.587,0.6502057
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,P,→,→,↓,D,#,D,O,O
# O,→,↑,D,→,↓,O,→,↓,O
# O,↑,←,←,#,↓,O,↑,→,E
# O,P,#,↑,O,↓,D,↑,←,O
# S,↓,D,↑,←,→,→,↓,↑,O
# O,→,↓,P,↑,O,P,↓,↑,O
# O,O,→,→,↑,P,↓,←,↑,O
# O,#,O,#,#,#,→,→,↑,O
# O,O,O,O,O,O,O,O,O,O

6,10,1,0,0,0,17.5,5.43,0.6015713
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,D,O,O,O,O,O,O,O
# O,#,→,↓,D,→,→,↓,P,O
# O,P,↑,→,→,↑,P,→,↓,O
# O,→,↑,O,O,O,O,D,↓,O
# O,↑,D,#,#,#,↓,←,←,O
# O,↑,←,P,O,↓,←,P,O,O
# O,D,↑,←,O,↓,D,#,→,E
# S,→,→,↑,P,→,→,→,↑,O
# O,O,O,O,O,O,O,O,O,O

7,10,1,3,0,0,44,5.507,0.5935673
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,→,→,→,→,↓,D,#,O,O
# O,↑,P,O,P,→,→,→,↓,O
# O,↑,←,←,←,D,O,O,→,E
# O,→,→,→,↑,#,#,P,#,O
# O,↑,P,O,D,↓,←,←,D,O
# O,↑,←,←,←,←,P,↑,←,O
# S,↓,P,#,D,O,→,→,↑,O
# O,→,→,→,→,→,↑,O,D,O
# O,O,O,O,O,O,O,O,O,O

