Iteration,Difficulty,Attempts,Backtracks,NearSolves,Resets,TimeTaken,GATime,BestFitness
1,5,1,1,0,0,35,0.3,0.7435064
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,P,#,D,#,D,O,O
# S,→,→,→,→,↓,#,→,↓,O
# O,O,#,↓,←,←,O,↑,↓,O
# O,O,O,↓,O,O,#,↑,↓,O
# O,#,O,↓,O,#,O,↑,↓,O
# O,#,O,↓,#,#,O,↑,↓,O
# O,O,#,→,→,→,→,↑,↓,O
# O,O,O,P,O,O,#,O,→,E
# O,O,O,O,O,O,O,O,O,O

2,5,1,2,0,0,34,0.237,0.7435064
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,P,#,O,#,O,O
# S,↓,P,O,→,↓,#,O,#,O
# O,→,→,→,↑,↓,O,O,O,O
# O,O,P,O,D,↓,#,O,O,O
# O,↓,←,D,↓,←,O,O,→,E
# O,↓,↑,←,←,#,#,O,↑,O
# O,→,→,→,→,→,→,→,↑,O
# O,D,O,#,#,O,#,#,#,O
# O,O,O,O,O,O,O,O,O,O

3,4,1,1,0,0,169,0.234,0.8888889
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# S,↓,O,O,O,#,#,D,O,O
# O,→,→,↓,O,O,O,→,↓,O
# O,P,#,↓,O,O,O,↑,↓,O
# O,O,O,↓,#,#,D,↑,↓,O
# O,P,↓,←,#,P,→,↑,↓,O
# O,O,↓,D,#,#,↑,O,↓,O
# O,#,→,→,→,→,↑,#,↓,O
# O,O,O,O,#,#,#,O,→,E
# O,O,O,O,O,O,O,O,O,O

4,5,1,2,0,0,27,0.23,0.7589125
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,#,O,O,O,O,O,O
# O,#,#,#,D,#,P,O,O,O
# O,O,#,#,→,→,→,→,↓,O
# O,O,O,P,↑,O,D,O,↓,O
# S,→,→,↓,↑,#,#,#,→,E
# O,D,↓,←,↑,←,O,#,O,O
# O,O,→,↓,P,↑,#,O,O,O
# O,#,O,→,→,↑,O,O,#,O
# O,O,O,O,O,O,O,O,O,O

5,5,1,3,0,0,34,0.247,0.7863635
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,O,#,P,O,O,O
# O,O,O,P,O,→,→,↓,#,O
# O,O,#,→,→,↑,D,↓,O,O
# O,O,P,↑,←,↓,←,←,O,O
# O,O,→,↓,↑,↓,D,#,#,O
# O,#,↑,→,↑,→,→,→,↓,O
# O,#,↑,D,#,O,#,O,→,E
# S,→,↑,O,#,#,#,#,O,O
# O,O,O,O,O,O,O,O,O,O

6,5,1,1,0,0,35,0.237,0.7308082
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,D,→,→,→,→,↓,P,→,E
# S,↓,↑,#,O,#,↓,#,↑,O
# O,↓,↑,O,O,O,↓,#,↑,O
# O,→,↑,#,O,↓,←,O,↑,O
# O,P,#,O,#,↓,D,O,↑,O
# O,O,O,#,O,↓,O,D,↑,O
# O,#,O,#,O,→,→,→,↑,O
# O,#,O,#,O,P,#,O,O,O
# O,O,O,O,O,O,O,O,O,O

7,5,1,1,0,0,36,0.247,0.7863635
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,O,O,O,O,O,O,O
# O,O,P,→,→,→,↓,D,→,E
# O,O,→,↑,P,↓,←,O,↑,O
# O,O,↑,#,#,→,→,→,↑,O
# O,#,↑,O,O,O,#,#,D,O
# O,#,↑,#,#,O,#,#,#,O
# O,D,↑,←,←,←,#,O,O,O
# S,→,→,→,→,↑,P,O,#,O
# O,O,O,O,O,O,O,O,O,O

8,5,1,3,0,0,36,0.241,0.7387444
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,→,→,→,→,→,→,→,E
# O,D,↑,←,←,←,←,#,#,O
# O,O,#,#,O,D,↑,←,#,O
# O,O,O,O,O,→,→,↑,P,O
# O,O,O,#,O,↑,←,#,O,O
# O,#,#,O,O,P,↑,O,#,O
# O,O,P,→,→,→,↑,O,O,O
# S,→,→,↑,D,#,O,#,#,O
# O,O,O,O,O,O,O,O,O,O

9,5,1,1,0,0,32,0.245,0.7863635
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,P,O,O,D,O,O,#,O
# O,O,→,→,→,→,→,→,→,E
# S,↓,↑,←,#,O,#,O,#,O
# O,→,↓,↑,O,#,O,O,#,O
# O,P,↓,↑,←,←,←,←,#,O
# O,O,↓,#,#,#,→,↑,D,O
# O,O,→,→,→,→,↑,P,O,O
# O,O,D,O,O,#,#,O,#,O
# O,O,O,O,O,O,O,O,O,O

10,5,1,2,0,0,32,0.235,0.7589125
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,#,O,O,O,#,O,#,O
# O,O,O,#,#,D,#,O,O,O
# O,O,P,O,O,→,→,→,↓,O
# S,→,↓,O,#,↑,←,#,↓,O
# O,↓,←,#,O,D,↑,←,→,E
# O,↓,D,O,O,→,↓,↑,O,O
# O,→,→,→,→,↑,↓,↑,#,O
# O,P,#,O,O,P,→,↑,#,O
# O,O,O,O,O,O,O,O,O,O

11,6,1,0,0,0,29,0.537,0.7863634
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,O,O,D,O,O,O
# O,#,P,O,O,P,→,↓,O,O
# S,→,→,→,↓,→,↑,↓,O,O
# O,O,#,O,→,↑,↓,←,#,O
# O,O,O,#,D,#,↓,#,O,O
# O,O,↓,←,←,←,←,O,#,O
# O,#,→,→,→,↓,P,#,#,O
# O,O,D,#,#,→,→,→,→,E
# O,O,O,O,O,O,O,O,O,O

12,5,1,7,0,0,43,0.312,0.7863635
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,#,#,O,O,O,→,E
# O,#,O,#,#,O,#,O,↑,O
# O,#,O,#,#,D,O,→,↑,O
# S,↓,D,#,→,→,↓,↑,D,O
# O,↓,→,→,↑,P,↓,↑,←,O
# O,↓,↑,O,↓,←,←,D,↑,O
# O,→,↑,O,→,→,→,↓,↑,O
# O,P,O,#,P,#,P,→,↑,O
# O,O,O,O,O,O,O,O,O,O

13,6,1,0,0,0,27,0.635,0.7308081
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,P,#,D,#,#,O
# O,O,O,O,→,→,→,↓,P,O
# O,O,O,#,↑,O,#,→,↓,O
# O,#,O,P,↑,←,#,D,↓,O
# O,O,#,→,↓,↑,#,O,↓,O
# O,O,#,↑,↓,↑,#,O,↓,O
# S,→,→,↑,↓,↑,O,O,↓,O
# O,#,O,D,→,↑,O,O,→,E
# O,O,O,O,O,O,O,O,O,O

14,5,1,5,0,0,42,0.249,0.7547846
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,#,O,D,O,→,→,↓,O
# O,O,O,→,→,→,↑,D,↓,O
# O,O,P,↑,←,←,←,←,↓,O
# O,O,#,#,#,O,O,↑,↓,O
# O,P,#,→,→,↓,D,↑,↓,O
# O,→,→,↑,P,→,→,↑,↓,O
# O,↑,#,D,O,O,P,#,↓,O
# S,↑,#,#,#,O,#,#,→,E
# O,O,O,O,O,O,O,O,O,O

15,6,1,0,0,0,28,0.546,0.7863634
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,O,D,#,#,→,→,↓,O
# O,#,O,→,→,→,↑,P,↓,O
# O,O,O,↑,←,←,←,←,→,E
# O,P,O,O,O,#,#,↑,O,O
# O,→,↓,O,#,D,#,↑,O,O
# S,↑,↓,O,→,→,→,↑,O,O
# O,D,→,→,↑,P,#,O,#,O
# O,#,#,O,O,#,O,#,O,O
# O,O,O,O,O,O,O,O,O,O

16,6,1,3,0,0,33,0.579,0.6916664
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,O,→,→,→,→,↓,D,O,O
# O,O,↑,D,#,P,→,→,↓,O
# O,O,↑,←,←,←,#,P,→,E
# O,O,#,O,#,↑,#,#,#,O
# O,#,O,O,→,↑,#,P,O,O
# O,O,O,D,↑,←,←,←,←,O
# O,O,#,#,O,P,#,D,↑,O
# S,→,→,→,→,→,→,→,↑,O
# O,O,O,O,O,O,O,O,O,O

17,6,1,0,0,0,32,0.577,0.7322754
# Map Data Below
# O,O,O,O,O,O,O,O,O,O
# O,#,O,O,P,#,#,O,→,E
# O,#,#,D,→,→,↓,#,↑,O
# O,P,#,→,↑,O,↓,#,↑,O
# O,→,→,↑,O,O,↓,O,↑,O
# O,↑,←,←,←,O,↓,O,↑,O
# S,→,↓,P,↑,#,↓,O,↑,O
# O,O,→,→,↑,O,→,→,↑,O
